Rank,Address,Blocks Mined,Percentage
1,t1at7nVNsv6taLRrNRvnQdtfLNRDfsGc3Ak,69671,54.00
2,t1PEp2GJLSdhDfCKqc2J211WKDUS1NfoQNy,18550,14.38
3,t1bnxtY7aLCjWx9Ru1YcGwRWch3eEWUFK7u,9608,7.45
4,t1K79TgQbqu74d6rBmsMu2oFEXEwAmdYiT7,9299,7.21
5,t1ZVi2YGk98tEGYcNpXYnJFWCoLG2oYwv3J,8064,6.25
6,t1L2b66MXbgpVMXDfUa94GCBFAN4dCxGohM,6303,4.88
7,t1XQZdZMnzXBcL8yx2PR27dSNrqctgwLgux,2690,2.08
8,t1egMFNkP7EfkK25y8s4GeiMkEGnqcMnTb1,2479,1.92
9,t1cQA9Rxn31tqHcgZzydrpDjgsQGmjpBgpB,1304,1.01
10,t1LRTUjrLE2RHsS75cjCrxB7xaLTwaVkwao,598,0.46
11,t1Mofe2EigYNfgqSTPbK4k1iJTxyCEEQCEC,263,0.20
12,t1e6hceYHkzCbwcwGZzKeMfXXW7x7gr19Cw,173,0.13
13,t1UPdnWEMyk8RwUFQEcKMcPX4QLSZdJF8d7,11,0.01
14,t1MEeAk5g3Ra12HoZdRTz4ZkVBWmaqqsmB8,4,0.00
15,t1fpcZ2Dbwn4oj35oWBTUhtmUciSq7HG7LU,4,0.00
16,t1ZCps8W51pMKkTnBZPmsxMzUsRQuAQoRtr,1,0.00
17,t1S8a5NQcYVibkKUjxKff5MA2Ehsif2Fedo,1,0.00
18,t1TpSTgqxGxrrZ4NUdSj1Gst3cRSxFxhXR7,1,0.00
19,t1QvoZLJDmticUJ8aFpsiVAwmZQb1C2AVX3,1,0.00
20,t1ZeWDYPSDTYnULixYfjUX32DWz3vtnvuaE,1,0.00
21,t1PzL6fiZeD6HFAJFSYUJN7CPYkQ33wcyss,1,0.00
22,t1JqnLN8nzoTs8VCzueCuVpwAWQkdN3TPva,1,0.00
23,t3ev37Q2uL1sfTsiJQJiWJoFzQpDhmnUwYo,1,0.00
